# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
4.647e+13,3.078,0.281,0.055,26,2013-03-20T06:46:00.21
5.960e+11,1.817,0.000,0.000,1,2013-03-20T21:35:13.31
8.773e+12,2.595,0.151,0.053,8,2013-03-20T21:38:23.94
2.098e+12,2.181,0.000,0.000,1,2013-03-20T22:49:18.24
3.142e+12,2.298,0.099,0.041,6,2013-03-21T01:02:25.71
1.158e+12,2.009,0.000,0.000,1,2013-03-21T01:35:44.48
4.138e+12,2.378,0.251,0.089,8,2013-03-21T06:04:06.31
2.001e+13,2.834,0.053,0.030,3,2013-03-21T07:41:46.58
2.049e+14,3.508,0.000,0.000,1,2013-03-21T16:10:44.32
2.545e+12,2.237,0.003,0.002,2,2013-03-21T19:18:35.67
4.143e+12,2.378,0.126,0.073,3,2013-03-21T19:18:35.83
7.657e+11,1.889,0.000,0.000,1,2013-03-22T07:14:29.28
2.573e+12,2.240,0.282,0.141,4,2013-03-22T08:41:42.02
8.259e+11,1.911,0.091,0.045,4,2013-03-22T10:45:32.63
4.137e+12,2.378,0.000,0.000,1,2013-03-22T11:00:34.94
2.447e+12,2.226,0.337,0.169,4,2013-03-22T20:03:29.82
2.504e+12,2.232,0.163,0.081,4,2013-03-27T10:32:32.09
4.409e+11,1.730,0.000,0.000,1,2013-03-27T23:56:48.94
5.916e+12,2.481,0.204,0.059,12,2013-03-28T06:27:02.30
4.368e+12,2.394,0.000,0.000,1,2013-03-28T18:39:48.21
6.208e+12,2.495,0.164,0.055,9,2013-03-30T07:49:49.86
1.075e+12,1.988,0.289,0.167,3,2013-04-01T08:17:27.04
1.196e+11,1.352,0.000,0.000,1,2013-04-01T14:20:59.74
4.603e+12,2.409,0.405,0.202,4,2013-04-02T06:13:44.12
2.737e+12,2.258,0.118,0.059,4,2013-04-02T12:03:59.21
3.033e+13,2.955,0.269,0.067,16,2013-04-02T15:17:38.30
4.738e+12,2.417,0.100,0.045,5,2013-04-03T00:06:59.32
